Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"42003426800","14000US42003426800","Census Tract 4268","Census Tract 4268, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006263",,,,,"42","003",,,,"426800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88167,2868,2752,2473,279,33,0,0,0,0,83
"42003427000","14000US42003427000","Census Tract 4270","Census Tract 4270, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006264",,,,,"42","003",,,,"427000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38554,2033,1577,1404,173,163,0,28,179,31,55
"42003427100","14000US42003427100","Census Tract 4271","Census Tract 4271, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006265",,,,,"42","003",,,,"427100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84432,2895,2655,2265,390,51,0,0,16,20,153
"42003427200","14000US42003427200","Census Tract 4272","Census Tract 4272, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006266",,,,,"42","003",,,,"427200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57215,2504,2235,1923,312,112,0,0,6,0,151
"42003428100","14000US42003428100","Census Tract 4281","Census Tract 4281, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006267",,,,,"42","003",,,,"428100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57647,718,639,518,121,57,0,0,7,6,9
"42003428200","14000US42003428200","Census Tract 4282","Census Tract 4282, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006268",,,,,"42","003",,,,"428200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67727,1210,1132,984,148,25,0,0,15,0,38
"42003429100","14000US42003429100","Census Tract 4291","Census Tract 4291, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006269",,,,,"42","003",,,,"429100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66287,1483,1282,1117,165,79,0,0,14,0,108
"42003429201","14000US42003429201","Census Tract 4292.01","Census Tract 4292.01, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006270",,,,,"42","003",,,,"429201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85406,2181,1861,1596,265,209,0,11,13,13,74
"42003429202","14000US42003429202","Census Tract 4292.02","Census Tract 4292.02, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006271",,,,,"42","003",,,,"429202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81667,2400,2159,2043,116,53,0,0,0,0,188
"42003429300","14000US42003429300","Census Tract 4293","Census Tract 4293, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006272",,,,,"42","003",,,,"429300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75052,2804,2381,2055,326,46,0,0,37,51,289
"42003429400","14000US42003429400","Census Tract 4294","Census Tract 4294, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006273",,,,,"42","003",,,,"429400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75417,2256,1991,1719,272,78,0,0,67,0,120
"42003429500","14000US42003429500","Census Tract 4295","Census Tract 4295, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006274",,,,,"42","003",,,,"429500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58026,2132,1742,1525,217,211,0,0,1,14,164
"42003429600","14000US42003429600","Census Tract 4296","Census Tract 4296, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006275",,,,,"42","003",,,,"429600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62440,1821,1577,1277,300,133,0,14,0,0,97
"42003429700","14000US42003429700","Census Tract 4297","Census Tract 4297, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006276",,,,,"42","003",,,,"429700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67197,1292,1077,864,213,100,0,0,15,1,99
"42003430100","14000US42003430100","Census Tract 4301","Census Tract 4301, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006277",,,,,"42","003",,,,"430100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58906,1284,1132,1007,125,130,0,0,7,0,15
"42003430200","14000US42003430200","Census Tract 4302","Census Tract 4302, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006278",,,,,"42","003",,,,"430200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52955,2367,2105,1840,265,68,13,0,73,83,25
"42003431100","14000US42003431100","Census Tract 4311","Census Tract 4311, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006279",,,,,"42","003",,,,"431100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47667,1988,1509,1398,111,359,0,21,36,12,51
"42003431400","14000US42003431400","Census Tract 4314","Census Tract 4314, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006280",,,,,"42","003",,,,"431400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49395,1123,900,769,131,120,0,0,43,7,53
"42003431500","14000US42003431500","Census Tract 4315","Census Tract 4315, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006281",,,,,"42","003",,,,"431500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41143,2087,1416,1251,165,281,0,14,248,25,103
"42003432300","14000US42003432300","Census Tract 4323","Census Tract 4323, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006282",,,,,"42","003",,,,"432300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35375,1250,993,906,87,144,0,0,93,7,13
"42003432400","14000US42003432400","Census Tract 4324","Census Tract 4324, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006283",,,,,"42","003",,,,"432400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,1555,1271,1148,123,133,0,21,57,0,73
"42003434000","14000US42003434000","Census Tract 4340","Census Tract 4340, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006284",,,,,"42","003",,,,"434000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92188,1015,864,780,84,55,0,0,4,5,87
"42003435000","14000US42003435000","Census Tract 4350","Census Tract 4350, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006285",,,,,"42","003",,,,"435000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56078,1427,1215,1119,96,67,0,0,72,20,53
"42003437000","14000US42003437000","Census Tract 4370","Census Tract 4370, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006286",,,,,"42","003",,,,"437000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106250,3043,2843,2475,368,42,0,0,15,0,143
"42003439000","14000US42003439000","Census Tract 4390","Census Tract 4390, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006287",,,,,"42","003",,,,"439000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102266,687,584,553,31,12,0,0,2,5,84
"42003445500","14000US42003445500","Census Tract 4455","Census Tract 4455, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006288",,,,,"42","003",,,,"445500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72727,1831,1401,1300,101,99,17,0,159,43,112
"42003446000","14000US42003446000","Census Tract 4460","Census Tract 4460, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006289",,,,,"42","003",,,,"446000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161641,678,518,508,10,9,0,10,33,8,100
"42003447000","14000US42003447000","Census Tract 4470","Census Tract 4470, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006290",,,,,"42","003",,,,"447000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,817,699,668,31,10,0,0,4,26,78
"42003448000","14000US42003448000","Census Tract 4480","Census Tract 4480, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006291",,,,,"42","003",,,,"448000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50063,594,452,424,28,34,0,3,61,12,32
"42003449000","14000US42003449000","Census Tract 4490","Census Tract 4490, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006292",,,,,"42","003",,,,"449000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73042,1391,1289,1197,92,18,9,0,0,18,57
"42003450700","14000US42003450700","Census Tract 4507","Census Tract 4507, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006293",,,,,"42","003",,,,"450700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43904,1375,1268,1186,82,42,0,0,18,0,47
"42003450800","14000US42003450800","Census Tract 4508","Census Tract 4508, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006294",,,,,"42","003",,,,"450800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47762,1262,1127,1045,82,30,0,0,87,17,1
"42003451101","14000US42003451101","Census Tract 4511.01","Census Tract 4511.01, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006295",,,,,"42","003",,,,"451101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82586,2052,1829,1627,202,28,0,0,18,41,136
"42003451102","14000US42003451102","Census Tract 4511.02","Census Tract 4511.02, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006296",,,,,"42","003",,,,"451102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62712,2758,2333,2060,273,125,0,0,159,11,130
"42003451104","14000US42003451104","Census Tract 4511.04","Census Tract 4511.04, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006297",,,,,"42","003",,,,"451104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111346,2042,1853,1743,110,32,0,0,3,41,113
"42003451105","14000US42003451105","Census Tract 4511.05","Census Tract 4511.05, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006298",,,,,"42","003",,,,"451105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60644,2734,2269,1956,313,179,0,0,111,0,175
"42003451300","14000US42003451300","Census Tract 4513","Census Tract 4513, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006299",,,,,"42","003",,,,"451300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109949,4122,3774,3619,155,95,0,0,30,0,223
